Untuk tipe periode ""Berulang"", tanggal berakhir harus kelipatan dari jumlah hari. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, jika kamu ingin pengaturan ini diulang 2x (3 periode), tanggal berakhir = 2021-05-30.",
22265277703,"Tanaman Hias Indoor sanseivera dikirim plus pot premium siap menghiasi ruangan anda. Goldflame,golden wendys, golden banner, golden hahnii,dll",128329500281,Golden banner,,,65000,,999,,,,,,
22126192837,Tanaman Hias mawar Import aneka jenis bebas pilih - Patience,231024139485,Katerose,new21feb2023_new21feb2023_2424,new21feb2023_38,9900,,2953,0,,,,,
22126192837,Tanaman Hias mawar Import aneka jenis bebas pilih - Patience,231024139478,Kinda blue,,new21feb2023_new21feb2023_3330,15500,,2950,,,,,,
22126192837,Tanaman Hias mawar Import aneka jenis bebas pilih - Patience,231024139480,Patience,,new21feb2023_new21feb2023_2424,9900,,2873,,,,,,
22126192837,Tanaman Hias mawar Import aneka jenis bebas pilih - Patience,231024139484,Dolcetto,,new21feb2023_36,9900,,2968,,,,,,
22126192837,Tanaman Hias mawar Import aneka jenis bebas pilih - Patience,231024139476,Juliet,,new21feb2023_new21feb2023_2626,15500,,2953,,,,,,
22126192837,Tanaman Hias mawar Import aneka jenis bebas pilih - Patience,231024139479,Eclaire,,new21feb2023_39,9900,,1951,,,,,,
22126192837,Tanaman Hias mawar Import aneka jenis bebas pilih - Patience,231024139477,Honey Dijon,,new21feb2023_new21feb2023_3128,9900,,2972,,,,,,
22126192837,Tanaman Hias mawar Import aneka jenis bebas pilih - Patience,231024139483,christoper,,new21feb2023_new21feb2023_4235,15500,,2969,,,,,,
22126192837,Tanaman Hias mawar Import aneka jenis bebas pilih - Patience,231024139481,Charming,,new21feb2023_new21feb2023_2927,9900,,2911,,,,,,
22126192837,Tanaman Hias mawar Import aneka jenis bebas pilih - Patience,231024139482,blue for you,,new21feb2023_new21feb2023_3934,15500,,2974,,,,,,
21972052830,Tanaman Bambu Nagin,230819963924,,tbh25jan2023_01,,29900,,943,0,,,,,
21872052804,Tanaman Bambu hoki 3 tingkat Pagoda,98585506685,,tbh25jan2023_3,,23400,,938,0,,,,,
21872052779,Tanaman Melati Jepang Putih,49245180999,,tbh25jan2023_4,,7500,,993,0,,,,,
21672053429,Tanaman hias bambu jepang,213764775006,,tbh25jan2023_6,,19900,,976,0,,,,,
21526350856,Tanaman Hias Calathea Bella,173777941851,,,,26910,,127,0,,,,,
21426352012,Tanaman hias asparagus Krisdorn fern Variegata,117113087582,,tbh_19jul_1,,26000,,998,0,,,,,
21426350940,Tanaman Puring apel Kuning,201367766523,,tbh_19jul_2,,22500,,999,0,,,,,
21324109616,Tanaman Hias Andong ice cream Threecolour,117074618595,,tbh_14jul22_1,,25000,,997,0,,,,,
21226352056,Tanaman Puring Moonlight Bulan kuning,173777939553,,tbh_19jul_3,,29900,,999,0,,,,,
21226350808,Tanaman Puring Jojon dasi Merah,211367761965,,tbh_19jul_5,,26910,,998,0,,,,,
21224109714,Tanaman Toga Daun Ketumbar Cilantro,211252353360,,tbh_14jul22_2,,16900,,857,0,,,,,
21126350989,Tanaman Beringin Kupu-kupu Varigata,201367763566,,tbh_19jul_7,,22680,,973,0,,,,,
21126350835,Tanaman asparagus Krisdoren Hijau,173777940906,,tbh_19jul_8,,19000,,999,0,,,,,
